课程,栏目,假名,汉字,释义,词性
第二课,指示代词,これ,これ,这（事物近己方）,代词
第二课,指示代词,それ,それ,那（事物近对方）,代词
第二课,指示代词,あれ,あれ,那（事物在远方）,代词
第二课,指示代词,この,この,这个的,连体词
第二课,指示代词,その,その,那个的,连体词
第二课,指示代词,あの,あの,那个的(远处),连体词
第二课,物品名称,ほん,本,书本，书籍,名词
第二课,物品名称,じしょ,辞書,词典,名词
第二课,物品名称,ざっし,雑誌,杂志,名词
第二课,物品名称,しんぶん,新聞,报纸,名词
第二课,物品名称,ノート,ノート,笔记本,名词
第二课,物品名称,てちょう,手帳,记事本,名词
第二课,物品名称,めいし,名刺,名片,名词
第二课,物品名称,カード,カード,卡片,名词
第二课,物品名称,テレホンカード,テレホンカード,电话卡,名词
第二课,物品名称,えんぴつ,鉛筆,铅笔,名词
第二课,物品名称,ボールペン,ボールペン,圆珠笔,名词
第二课,物品名称,かぎ,鍵,钥匙,名词
第二课,物品名称,とけい,時計,钟表,名词
第二课,物品名称,かさ,傘,雨伞,名词
第二课,物品名称,かばん,鞄,书包，手提包，皮包,名词
第二课,所属关系,の,の,的,助词
第二课,疑问与应答,そうです,そうです,是的,感叹词
第二课,疑问与应答,ちがいます,違います,不对,动词
第02课,补充词汇,この～,この～,这（近己方）,代词
第02课,补充词汇,その～,その～,那（近对方）,代词
第02课,补充词汇,あの～,あの～,那（远方）,代词
第02课,补充词汇,シャープペンシル,シャープペンシル,自动铅笔,外来词
第02课,补充词汇,テープ,テープ,录音带,外来词
第02课,补充词汇,テープレコーダー,テープレコーダー,录音机,外来词
第02课,补充词汇,テレビ,テレビ,电视,外来词
第02课,补充词汇,ラジオ,ラジオ,收音机,外来词
第02课,补充词汇,カメラ,カメラ,照相机,外来词
第02课,补充词汇,コンピューター,コンピューター,电脑,外来词
第02课,补充词汇,じどうしゃ,自動車,汽车,名词
第02课,补充词汇,つくえ,机,桌子,名词
第02课,补充词汇,いす,いす,椅子,动词(1型)
第02课,补充词汇,チョコレート,チョコレート,巧克力,外来词
第02课,补充词汇,コーヒー,コーヒー,咖啡,外来词
第02课,补充词汇,えいご,英語,英语,数词
第02课,补充词汇,にほんご,日本語,日语,数词
第02课,补充词汇,～ご,～語,～语,数词
第02课,补充词汇,なん,何,什么,代词
第02课,补充词汇,そう,そう,是的,动词(1型)
第02课,补充词汇,ちがいます。,違います。,不对。/不是。,名词
第02课,补充词汇,そうですか。,そうですか。,我了解了/是吗？,代词
第02课,补充词汇,あのう,あのう,嗯（用于表示躊躇）,动词(1型)
第02课,补充词汇,ほんのきもちです。,ほんのきもちです。,小意思。/只是一点心意。ほんの気持ちです。,时间词
第02课,补充词汇,どうぞ。,どうぞ。,请。/给你,寒暄语
第02课,补充词汇,どうも。,どうも。,谢了。,名词
第02课,补充词汇,［どうも］ありがとう［ございます］。,［どうも］ありがとう［ございます］。,（非常）谢谢你。,寒暄语
