课程,栏目,假名,汉字,释义,词性
第三课,场所指示,ここ,ここ,这里，这个地方,代词
第三课,场所指示,そこ,そこ,那里，那个地方,代词
第三课,场所指示,あそこ,あそこ,那里，那个地方,代词
第三课,场所指示,どこ,どこ,哪里，哪个地方,疑问词
第三课,场所名称,きょうしつ,教室,教室,名词
第三课,场所名称,しょくどう,食堂,餐厅，食堂,名词
第三课,场所名称,ゆうびんきょく,郵便局,邮局,名词
第三课,场所名称,ぎんこう,銀行,银行,名词
第三课,场所名称,としょかん,図書館,图书馆,名词
第三课,场所名称,びょういん,病院,医院,名词
第三课,场所名称,でんわ,電話,电话，电话呼叫,名词
第三课,场所名称,くつ,靴,鞋子,名词
第三课,场所名称,ネクタイ,ネクタイ,领带,名词
第三课,场所名称,ワイン,ワイン,葡萄酒,名词
第三课,场所名称,たばこ,煙草,香烟,名词
第三课,方位词,うえ,上,上面,名词
第三课,方位词,した,下,下面,名词
第三课,方位词,まえ,前,前面,名词
第三课,方位词,うしろ,後ろ,后面,名词
第三课,方位词,みぎ,右,右边,名词
第三课,方位词,ひだり,左,左边,名词
第三课,方位词,なか,中,里面,名词
第三课,方位词,そと,外,外面,名词
第三课,价格询问,いくら,いくら,多少钱,疑问词
第三课,价格询问,えん,円,日元,名词
第三课,数字,ひゃく,百,一百,数词
第三课,数字,せん,千,一千,数词
第三课,数字,まん,万,一万,数词
第03课,补充词汇,こちら,こちら,这边（“ここ”的礼貌形）,な形容词
第03课,补充词汇,そちら,そちら,那边（“そこ”的礼貌形）,な形容词
第03课,补充词汇,あちら,あちら,那边（“あちら”的礼貌形）,な形容词
第03课,补充词汇,どちら,どちら,哪边（“どこ”的礼貌形）,な形容词
第03课,补充词汇,じむしょ,事務所,办公室,名词
第03课,补充词汇,かいぎしつ,会議室,会议室,动词(1型)
第03课,补充词汇,うけつけ,受付,传达室，接待,名词
第03课,补充词汇,ロビー,ロビー,大厅，休息室,外来词
第03课,补充词汇,へや,部屋,房间,名词
第03课,补充词汇,トイレ（おてあらい）,トイレ（お手洗い）,厕所（洗手间）,外来词
第03课,补充词汇,かいだん,階段,楼梯,名词
第03课,补充词汇,エレベーター,エレベーター,电梯,外来词
第03课,补充词汇,［お］くに,［お］国,贵国,数词
第03课,补充词汇,かいしゃ,会社,公司,专有名词
第03课,补充词汇,うち,うち,家，房子,名词
第03课,补充词汇,うりば,売り場,柜台，卖场,名词
第03课,补充词汇,ちか,地下,地下,方位词
第03课,补充词汇,…かい,…階,…楼,い形容词
第03课,补充词汇,なんがい,何階,几楼,い形容词
第03课,补充词汇,…えん,…円,?日元,时间词
